KASHUBIAN LEXICAL MODEL (TOP 1000 WORDS)
======================================================================
Total words: 443,303
Unique words: 84,322
Cleaned with blacklist: removed 57,219 words (11.43%)
Created: 2025-11-27 14:12:30

Rank   Word                 Count      Probability     Percentage
665    including            64         0.00014437      0.0144%
666    wielelatnô           64         0.00014437      0.0144%
667    diskùsëjô            63         0.00014211      0.0142%
668    robił                63         0.00014211      0.0142%
669    go                   63         0.00014211      0.0142%
670    pòrénkòwi            63         0.00014211      0.0142%
671    dzejôrz              63         0.00014211      0.0142%
672    dłudżi               63         0.00014211      0.0142%
673    tego                 63         0.00014211      0.0142%
674    leżi                 63         0.00014211      0.0142%
675    join                 63         0.00014211      0.0142%
676    ccc                  63         0.00014211      0.0142%
677    òbczas               63         0.00014211      0.0142%
678    jã                   62         0.00013986      0.0140%
679    zôpadny              62         0.00013986      0.0140%
680    taczé                62         0.00013986      0.0140%
681    dnia                 62         0.00013986      0.0140%
682    dzecë                62         0.00013986      0.0140%
683    mieszkô              62         0.00013986      0.0140%
684    sign                 62         0.00013986      0.0140%
685    uest                 62         0.00013986      0.0140%
686    two                  62         0.00013986      0.0140%
687    after                62         0.00013986      0.0140%
688    të                   61         0.00013760      0.0138%
689    swòją                61         0.00013760      0.0138%
690    bôłtu                61         0.00013760      0.0138%
691    kartuzë              61         0.00013760      0.0138%
692    wejrowò              61         0.00013760      0.0138%
693    trepczik             61         0.00013760      0.0138%
694    człowiek             61         0.00013760      0.0138%
695    ich                  61         0.00013760      0.0138%
696    kòd                  61         0.00013760      0.0138%
697    messages             61         0.00013760      0.0138%
698    razy                 61         0.00013760      0.0138%
699    gje                  61         0.00013760      0.0138%
700    wierã                61         0.00013760      0.0138%
701    library              61         0.00013760      0.0138%
702    currently            60         0.00013535      0.0135%
703    jãzëkach             60         0.00013535      0.0135%
704    kùńc                 60         0.00013535      0.0135%
705    lato                 60         0.00013535      0.0135%
706    swòji                60         0.00013535      0.0135%
707    mieszkało            60         0.00013535      0.0135%
708    lãbòrsczim           60         0.00013535      0.0135%
709    tës                  60         0.00013535      0.0135%
710    participate          60         0.00013535      0.0135%
711    last                 60         0.00013535      0.0135%
712    title                60         0.00013535      0.0135%
713    made                 60         0.00013535      0.0135%
714    full                 60         0.00013535      0.0135%
715    ruchu                60         0.00013535      0.0135%
716    version              60         0.00013535      0.0135%
717    starna               59         0.00013309      0.0133%
718    pòlskù               59         0.00013309      0.0133%
719    mòrdawsczi           59         0.00013309      0.0133%
720    kategòrëji           59         0.00013309      0.0133%
721    rzéka                59         0.00013309      0.0133%
722    widzec               59         0.00013309      0.0133%
723    through              59         0.00013309      0.0133%
724    review               59         0.00013309      0.0133%
725    technical            59         0.00013309      0.0133%
726    april                59         0.00013309      0.0133%
727    better               59         0.00013309      0.0133%
728    images               59         0.00013309      0.0133%
729    syn                  59         0.00013309      0.0133%
730    cała                 59         0.00013309      0.0133%
731    rezerwat             59         0.00013309      0.0133%
732    below                58         0.00013084      0.0131%
733    pòlsczim             58         0.00013084      0.0131%
734    procëm               58         0.00013084      0.0131%
735    wôżnym               58         0.00013084      0.0131%
736    international        58         0.00013084      0.0131%
737    apologies            58         0.00013084      0.0131%
738    during               58         0.00013084      0.0131%
739    non                  58         0.00013084      0.0131%
740    chònicczim           58         0.00013084      0.0131%
741    przëmiôr             58         0.00013084      0.0131%
742    alfabétu             58         0.00013084      0.0131%
743    bar                  58         0.00013084      0.0131%
744    artiklów             57         0.00012858      0.0129%
745    pòmòrsczé            57         0.00012858      0.0129%
746    documentation        57         0.00012858      0.0129%
747    dwie                 57         0.00012858      0.0129%
748    pòrénkù              57         0.00012858      0.0129%
749    robi                 57         0.00012858      0.0129%
750    system               57         0.00012858      0.0129%
751    noc                  57         0.00012858      0.0129%
752    król                 57         0.00012858      0.0129%
753    nowégò               57         0.00012858      0.0129%
754    biwô                 57         0.00012858      0.0129%
755    zôpadnopòmòrsczim    57         0.00012858      0.0129%
756    features             57         0.00012858      0.0129%
757    sychta               57         0.00012858      0.0129%
758    reading              57         0.00012858      0.0129%
759    nôwikszi             56         0.00012632      0.0126%
760    żëcégò               56         0.00012632      0.0126%
761    brusë                56         0.00012632      0.0126%
762    róman                56         0.00012632      0.0126%
763    ruskô                56         0.00012632      0.0126%
764    ch                   56         0.00012632      0.0126%
765    zyk                  56         0.00012632      0.0126%
766    dostôł               56         0.00012632      0.0126%
767    wiéchrzëznie         56         0.00012632      0.0126%
768    universal            56         0.00012632      0.0126%
769    conduct              56         0.00012632      0.0126%
770    learn                56         0.00012632      0.0126%
771    account              56         0.00012632      0.0126%
772    each                 56         0.00012632      0.0126%
773    guide                56         0.00012632      0.0126%
774    program              56         0.00012632      0.0126%
775    mod                  56         0.00012632      0.0126%
776    pierszé              55         0.00012407      0.0124%
777    trzech               55         0.00012407      0.0124%
778    brëkòwnicë           55         0.00012407      0.0124%
779    dost                 55         0.00012407      0.0124%
780    tym                  55         0.00012407      0.0124%
781    wiôldżim             55         0.00012407      0.0124%
782    well                 55         0.00012407      0.0124%
783    today                55         0.00012407      0.0124%
784    szôłtëstwa           55         0.00012407      0.0124%
785    jidze                54         0.00012181      0.0122%
786    pòchòdzy             54         0.00012181      0.0122%
787    cząd                 54         0.00012181      0.0122%
788    rësznotë             54         0.00012181      0.0122%
789    kanadze              54         0.00012181      0.0122%
790    wiôlgą               54         0.00012181      0.0122%
791    americe              54         0.00012181      0.0122%
792    robòtë               54         0.00012181      0.0122%
793    vote                 54         0.00012181      0.0122%
794    election             54         0.00012181      0.0122%
795    possible             54         0.00012181      0.0122%
796    wid                  54         0.00012181      0.0122%
797    jezësa               54         0.00012181      0.0122%
798    nôtërë               54         0.00012181      0.0122%
799    post                 53         0.00011956      0.0120%
800    òkróm                53         0.00011956      0.0120%
801    cze                  53         0.00011956      0.0120%
802    pùck                 53         0.00011956      0.0120%
803    drzéżdżón            53         0.00011956      0.0120%
804    matczi               53         0.00011956      0.0120%
805    zëmã                 53         0.00011956      0.0120%
806    gôdô                 53         0.00011956      0.0120%
807    different            53         0.00011956      0.0120%
808    ask                  53         0.00011956      0.0120%
809    start                53         0.00011956      0.0120%
810    were                 53         0.00011956      0.0120%
811    strategy             53         0.00011956      0.0120%
812    epitaph              53         0.00011956      0.0120%
813    roscą                53         0.00011956      0.0120%
814    da                   52         0.00011730      0.0117%
815    lëst                 52         0.00011730      0.0117%
816    rozwiju              52         0.00011730      0.0117%
817    miastkò              52         0.00011730      0.0117%
818    jinszé               52         0.00011730      0.0117%
819    òstałë               52         0.00011730      0.0117%
820    let                  52         0.00011730      0.0117%
821    africe               52         0.00011730      0.0117%
822    dyskusja             52         0.00011730      0.0117%
823    kòpijô               52         0.00011730      0.0117%
824    str                  52         0.00011730      0.0117%
825    ff                   52         0.00011730      0.0117%
826    contact              52         0.00011730      0.0117%
827    łacyńsczégò          52         0.00011730      0.0117%
828    amerikańską          52         0.00011730      0.0117%
829    brzôd                52         0.00011730      0.0117%
830    jezës                52         0.00011730      0.0117%
831    człëchòwsczim        52         0.00011730      0.0117%
832    gardë                51         0.00011505      0.0115%
833    lëstë                51         0.00011505      0.0115%
834    jedną                51         0.00011505      0.0115%
835    króla                51         0.00011505      0.0115%
836    current              51         0.00011505      0.0115%
837    môrcën               51         0.00011505      0.0115%
838    mcm                  51         0.00011505      0.0115%
839    mdccc                51         0.00011505      0.0115%
840    ideas                51         0.00011505      0.0115%
841    mylanguage           51         0.00011505      0.0115%
842    mdcc                 51         0.00011505      0.0115%
843    teatrownicą          51         0.00011505      0.0115%
844    dccc                 51         0.00011505      0.0115%
845    kòżdi                50         0.00011279      0.0113%
846    ôrtu                 50         0.00011279      0.0113%
847    jaczim               50         0.00011279      0.0113%
848    òstała               50         0.00011279      0.0113%
849    chtërno              50         0.00011279      0.0113%
850    strzédny             50         0.00011279      0.0113%
851    london               50         0.00011279      0.0113%
852    swiãtô               50         0.00011279      0.0113%
853    katolëcczim          50         0.00011279      0.0113%
854    mie                  50         0.00011279      0.0113%
855    ùniwersytet          50         0.00011279      0.0113%
856    kaszubów             50         0.00011279      0.0113%
857    zeswiôdczają         50         0.00011279      0.0113%
858    pòłożoné             50         0.00011279      0.0113%
859    sedzbą               50         0.00011279      0.0113%
860    communities          50         0.00011279      0.0113%
861    where                50         0.00011279      0.0113%
862    before               50         0.00011279      0.0113%
863    same                 50         0.00011279      0.0113%
864    hëta                 50         0.00011279      0.0113%
865    spiéwôrką            50         0.00011279      0.0113%
866    òjc                  50         0.00011279      0.0113%
867    ùmarł                50         0.00011279      0.0113%
868    treder               49         0.00011053      0.0111%
869    titel                49         0.00011053      0.0111%
870    gardów               49         0.00011053      0.0111%
871    żukòwò               49         0.00011053      0.0111%
872    plan                 49         0.00011053      0.0111%
873    pòchôdô              49         0.00011053      0.0111%
874    barcelona            49         0.00011053      0.0111%
875    mia                  49         0.00011053      0.0111%
876    dz                   49         0.00011053      0.0111%
877    eùropë               49         0.00011053      0.0111%
878    negò                 49         0.00011053      0.0111%
879    fana                 49         0.00011053      0.0111%
880    słuńca               49         0.00011053      0.0111%
881    ja                   49         0.00011053      0.0111%
882    jezora               49         0.00011053      0.0111%
883    wiôldżégò            49         0.00011053      0.0111%
884    wôżny                49         0.00011053      0.0111%
885    wielu                49         0.00011053      0.0111%
886    eu                   49         0.00011053      0.0111%
887    znajemòtã            49         0.00011053      0.0111%
888    loves                49         0.00011053      0.0111%
889    voting               49         0.00011053      0.0111%
890    such                 49         0.00011053      0.0111%
891    lists                49         0.00011053      0.0111%
892    being                49         0.00011053      0.0111%
893    punk                 49         0.00011053      0.0111%
894    ùżiwónô              49         0.00011053      0.0111%
895    translations         49         0.00011053      0.0111%
896    sóm                  48         0.00010828      0.0108%
897    frãcëszk             48         0.00010828      0.0108%
898    wiéchrzëznë          48         0.00010828      0.0108%
899    karól                48         0.00010828      0.0108%
900    sa                   48         0.00010828      0.0108%
901    òstało               48         0.00010828      0.0108%
902    ùniwersytece         48         0.00010828      0.0108%
903    stronie              48         0.00010828      0.0108%
904    môlã                 48         0.00010828      0.0108%
905    improve              48         0.00010828      0.0108%
906    charter              48         0.00010828      0.0108%
907    way                  48         0.00010828      0.0108%
908    future               48         0.00010828      0.0108%
909    without              48         0.00010828      0.0108%
910    wa                   48         0.00010828      0.0108%
911    nôdgroda             48         0.00010828      0.0108%
912    args                 48         0.00010828      0.0108%
913    ccd                  48         0.00010828      0.0108%
914    czesczi              47         0.00010602      0.0106%
915    łżë                  47         0.00010602      0.0106%
916    mùszi                47         0.00010602      0.0106%
917    òbéńdë               47         0.00010602      0.0106%
918    zôs                  47         0.00010602      0.0106%
919    zrzeszeniô           47         0.00010602      0.0106%
920    môłé                 47         0.00010602      0.0106%
921    pisôrz               47         0.00010602      0.0106%
922    nordze               47         0.00010602      0.0106%
923    ùcził                47         0.00010602      0.0106%
924    mùzeum               47         0.00010602      0.0106%
925    lasach               47         0.00010602      0.0106%
926    lasë                 47         0.00010602      0.0106%
927    trustees             47         0.00010602      0.0106%
928    result               47         0.00010602      0.0106%
929    section              47         0.00010602      0.0106%
930    between              47         0.00010602      0.0106%
931    ewanieliô            47         0.00010602      0.0106%
932    krôj                 46         0.00010377      0.0104%
933    kòscérzna            46         0.00010377      0.0104%
934    gardze               46         0.00010377      0.0104%
935    pòzwë                46         0.00010377      0.0104%
936    słowiańsczich        46         0.00010377      0.0104%
937    òstrowë              46         0.00010377      0.0104%
938    séw                  46         0.00010377      0.0104%
939    zrzeszenié           46         0.00010377      0.0104%
940    czasów               46         0.00010377      0.0104%
941    soon                 46         0.00010377      0.0104%
942    translation          46         0.00010377      0.0104%
943    proposal             46         0.00010377      0.0104%
944    since                46         0.00010377      0.0104%
945    week                 46         0.00010377      0.0104%
946    alfabéce             46         0.00010377      0.0104%
947    internet             45         0.00010151      0.0102%
948    rzéką                45         0.00010151      0.0102%
949    lëpinca              45         0.00010151      0.0102%
950    kąsk                 45         0.00010151      0.0102%
951    rëbë                 45         0.00010151      0.0102%
952    polsczi              45         0.00010151      0.0102%
953    zwóny                45         0.00010151      0.0102%
954    trzeba               45         0.00010151      0.0102%
955    mogą                 45         0.00010151      0.0102%
956    stoji                45         0.00010151      0.0102%
957    bank                 45         0.00010151      0.0102%
958    miemcë               45         0.00010151      0.0102%
959    proposals            45         0.00010151      0.0102%
960    development          45         0.00010151      0.0102%
961    consultation         45         0.00010151      0.0102%
962    name                 45         0.00010151      0.0102%
963    ac                   45         0.00010151      0.0102%
964    skłôdô               45         0.00010151      0.0102%
965    testameńtu           45         0.00010151      0.0102%
966    mielë                44         0.00009925      0.0099%
967    chtërną              44         0.00009925      0.0099%
968    ùczk                 44         0.00009925      0.0099%
969    môj                  44         0.00009925      0.0099%
970    krézewi              44         0.00009925      0.0099%
971    pòwstało             44         0.00009925      0.0099%
972    białczi              44         0.00009925      0.0099%
973    białka               44         0.00009925      0.0099%
974    pòlsczich            44         0.00009925      0.0099%
975    przódë               44         0.00009925      0.0099%
976    css                  44         0.00009925      0.0099%
977    spòdlim              44         0.00009925      0.0099%
978    oraz                 44         0.00009925      0.0099%
979    czôrny               44         0.00009925      0.0099%
980    edits                44         0.00009925      0.0099%
981    ruch                 44         0.00009925      0.0099%
982    announcement         44         0.00009925      0.0099%
983    even                 44         0.00009925      0.0099%
984    kaszëbiznie          44         0.00009925      0.0099%
985    function             44         0.00009925      0.0099%
986    hope                 44         0.00009925      0.0099%
987    lësta                43         0.00009700      0.0097%
988    nalezc               43         0.00009700      0.0097%
989    prawach              43         0.00009700      0.0097%
990    brëkòwnik            43         0.00009700      0.0097%
991    polska               43         0.00009700      0.0097%
992    swiat                43         0.00009700      0.0097%
993    stolëcznym           43         0.00009700      0.0097%
994    look                 43         0.00009700      0.0097%
995    dą                   43         0.00009700      0.0097%
996    posted               43         0.00009700      0.0097%
997    across               43         0.00009700      0.0097%
998    stacjô               43         0.00009700      0.0097%
999    ôrtów                42         0.00009474      0.0095%
1000   nowé                 42         0.00009474      0.0095%
